energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_href,uri,track_album_name,playlist_name,analysis_url,track_id,track_name,track_album_release_date,instrumentalness,track_album_id,mode,key,duration_ms,acousticness,id,playlist_subgenre,type,playlist_id
0.601,123.994,0.635,pop,-6.129,0.11,0.332,Myles Smith,4,0.0295,88,https://api.spotify.com/v1/tracks/3Vr3zh0r7ALn8VLqCiRR10,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/3Vr3zh0r7ALn8VLqCiRR10,3Vr3zh0r7ALn8VLqCiRR10,Stargazing,2024.0,0.0,3VNxRarx9HUI5w7DHv0TBj,0,1,172533,0.246,3Vr3zh0r7ALn8VLqCiRR10,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.586,107.071,0.669,pop,-6.073,0.104,0.579,Sabrina Carpenter,4,0.054,88,https://api.spotify.com/v1/tracks/5N3hjp1WNayUPZrA8kJmJP,spotify:track:5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/5N3hjp1WNayUPZrA8kJmJP,5N3hjp1WNayUPZrA8kJmJP,Please Please Please,2024.0,0.0,5bBaoign62r1i7OV8w7mi9,1,9,186365,0.274,5N3hjp1WNayUPZrA8kJmJP,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.5,117.896,0.664,pop,-6.935,0.0966,0.801,Noah Kahan,4,0.0651,87,https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv,spotify:track:0mflMxspEfB0VbI1kyLiAv,Stick Season,Soft Pop Hits,https://api.spotify.com/v1/audio-analysis/0mflMxspEfB0VbI1kyLiAv,0mflMxspEfB0VbI1kyLiAv,Stick Season,2022.0,0.0,50ZenUP4O2Q5eCy2NRNvuz,1,9,182347,0.799,0mflMxspEfB0VbI1kyLiAv,soft,audio_features,37i9dQZF1DWTwnEm1IYyoj
0.555,96.063,0.392,pop,-6.707,0.13,0.191,"Tyler, The Creator, Lola Young",3,0.039,87,https://api.spotify.com/v1/tracks/6jbYpRPTEFl1HFKHk1IC0m,spotify:track:6jbYpRPTEFl1HFKHk1IC0m,CHROMAKOPIA,Global Top 50,https://api.spotify.com/v1/audio-analysis/6jbYpRPTEFl1HFKHk1IC0m,6jbYpRPTEFl1HFKHk1IC0m,Like Him (feat. Lola Young),2024.0,0.000253,0U28P0QVB1QRxpqp5IHOlH,0,4,278015,0.287,6jbYpRPTEFl1HFKHk1IC0m,global,audio_features,37i9dQZEVXbMDoHDwVN2tF
0.818,97.571,0.373,hip-hop,-3.19,0.434,0.361,"Tyler, The Creator, Teezo Touchdown",4,0.102,87,https://api.spotify.com/v1/tracks/0VaeksJaXy5R1nvcTMh3Xk,spotify:track:0VaeksJaXy5R1nvcTMh3Xk,CHROMAKOPIA,Chill Hop,https://api.spotify.com/v1/audio-analysis/0VaeksJaXy5R1nvcTMh3Xk,0VaeksJaXy5R1nvcTMh3Xk,"Darling, I (feat. Teezo Touchdown)",2024.0,0.0,0U28P0QVB1QRxpqp5IHOlH,0,3,253834,0.36,0VaeksJaXy5R1nvcTMh3Xk,chill,audio_features,37i9dQZF1EIf4OaZ1XTJYw
0.28,72.795,0.612,pop,-8.648,0.088,0.387,Bruno Mars,4,0.0434,87,https://api.spotify.com/v1/tracks/0nJW01T7XtvILxQgC5J7Wh,spotify:track:0nJW01T7XtvILxQgC5J7Wh,Unorthodox Jukebox,Soft Pop Hits,https://api.spotify.com/v1/audio-analysis/0nJW01T7XtvILxQgC5J7Wh,0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,2012.0,0.0,58ufpQsJ1DS5kq4hhzQDiI,1,0,213827,0.932,0nJW01T7XtvILxQgC5J7Wh,soft,audio_features,37i9dQZF1DWTwnEm1IYyoj
0.587,186.003,0.679,pop,-7.015,0.137,0.486,"The Weeknd, Daft Punk",4,0.276,87,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,spotify:track:7MXVkk9YMctZqd1Srtv4MB,Starboy,Throwback Party,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,7MXVkk9YMctZqd1Srtv4MB,Starboy,2016.0,6.35e-06,2ODvWsOgouMbaA5xf0RkJe,1,7,230453,0.141,7MXVkk9YMctZqd1Srtv4MB,throwback,audio_features,37i9dQZF1DX7F6T2n2fegs
0.878,82.557,0.661,hip-hop,-4.099,0.381,0.514,"Tyler, The Creator",4,0.31,87,https://api.spotify.com/v1/tracks/5RePVWy39tLpHH0WwXgBsK,spotify:track:5RePVWy39tLpHH0WwXgBsK,CHROMAKOPIA,RapCaviar,https://api.spotify.com/v1/audio-analysis/5RePVWy39tLpHH0WwXgBsK,5RePVWy39tLpHH0WwXgBsK,Rah Tah Tah,2024.0,0.0,0U28P0QVB1QRxpqp5IHOlH,1,1,165413,0.00289,5RePVWy39tLpHH0WwXgBsK,modern,audio_features,37i9dQZF1DX0XUsuxWHRQd
0.583,181.489,0.432,gaming,-4.682,0.0933,0.544,Benson Boone,4,0.0687,87,https://api.spotify.com/v1/tracks/51eSHglvG1RJXtL3qI5trr,spotify:track:51eSHglvG1RJXtL3qI5trr,Fireworks & Rollerblades,Top Gaming Tracks,https://api.spotify.com/v1/audio-analysis/51eSHglvG1RJXtL3qI5trr,51eSHglvG1RJXtL3qI5trr,Slow It Down,2024.0,0.0,168CdR21lfn0TTyw1Pkdcm,1,8,161831,0.174,51eSHglvG1RJXtL3qI5trr,modern,audio_features,37i9dQZF1DWTyiBJ6yEqeu
0.645,114.933,0.882,pop,-7.233,0.057,0.788,Ndotz,4,0.0601,87,https://api.spotify.com/v1/tracks/0io16MKpbeDIdYzmGpQaES,spotify:track:0io16MKpbeDIdYzmGpQaES,Embrace It,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/0io16MKpbeDIdYzmGpQaES,0io16MKpbeDIdYzmGpQaES,Embrace It,2024.0,4.13e-05,0mV9Pfr1GfoZLkp1EAau9P,1,1,104419,0.475,0io16MKpbeDIdYzmGpQaES,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
