energy,tempo,danceability,playlist_genre,loudness,liveness,valence,speechiness,track_popularity,track_name,track_album_release_date,instrumentalness,acousticness,id,type
0.543,68.534,0.359,pop,-7.582,0.118,0.453,0.0919,84,Lover,2019.0,1.58e-05,0.492,1dGr1c8CrMLDpV6mPbImSI,audio_features
0.379,107.989,0.614,pop,-10.48,0.0986,0.201,0.0476,84,Photograph,2014.0,0.000464,0.607,1HNkqx9Ahdgi1Ixy2xkKkL,audio_features
0.251,139.999,0.746,hip-hop,-16.169,0.106,0.18,0.259,84,Revenge,2017.0,0.00203,0.782,5TXDeTFVRVY7Cvt0Dw4vWW,audio_features
0.533,131.036,0.797,hip-hop,-9.74,0.103,0.329,0.0412,84,Fuck Love,2017.0,0.000152,0.0172,7AQim7LbvFVZJE3O8TYgf2,audio_features
0.552,75.881,0.346,pop,-6.864,0.114,0.0789,0.0282,84,Skyfall,2012.0,0.0,0.417,6VObnIkLVruX4UVyxWhlqm,audio_features
0.386,192.004,0.504,pop,-10.976,0.0961,0.281,0.0308,84,Fortnight (feat. Post Malone),2024.0,1.53e-05,0.502,2OzhQlSqBEmt7hmkYxfT6m,audio_features
0.778,96.057,0.911,latin,-2.248,0.179,0.345,0.262,84,PERRO NEGRO,2023.0,2.16e-05,0.0887,7iQXYTyuG13aoeHxGG28Nh,audio_features
0.643,117.025,0.74,pop,-5.446,0.0407,0.96,0.0413,84,Too Sweet,2024.0,0.00229,0.041,19XpFsce28aByvCC4g89tJ,audio_features
0.339,97.989,0.705,pop,-10.612,0.12,0.457,0.0278,84,No One Noticed,2024.0,0.0814,0.552,3siwsiaEoU4Kuuc9WKMUy5,audio_features
0.707,82.045,0.786,latin,-4.386,0.121,0.691,0.0635,84,SE ME OLVIDA,2024.0,0.0,0.0399,2gmd7lY3QSzLh0xIY4cRvi,audio_features
0.855,127.986,0.638,pop,-4.86,0.245,0.731,0.0264,84,I Had Some Help (Feat. Morgan Wallen),2024.0,0.0,0.00757,7221xIgOnuakPdLqT0F3nP,audio_features
0.552,144.941,0.64,hip-hop,-5.679,0.119,0.112,0.129,84,Type Shit,2024.0,0.0,0.0215,28drn6tQo95MRvO0jQEo5C,audio_features
0.712,91.98,0.848,pop,-3.574,0.106,0.692,0.0981,84,+57,2024.0,0.0,0.221,3mg9jYNC1NihbthlglzrWP,audio_features
0.518,126.089,0.875,electronic,-8.388,0.125,0.37,0.0551,84,Stumblin' In,2023.0,0.00995,0.0638,0h3Xy4V4apMraB5NuM8U7Z,audio_features
0.939,129.024,0.671,electronic,-3.206,0.298,0.53,0.161,84,Give Me Everything (feat. Nayer),2011.0,0.0,0.191,4QNpBfC0zvjKqPJcyqBy9W,audio_features
0.652,141.981,0.47,hip-hop,-9.629,0.175,0.104,0.0561,84,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),2023.0,4.08e-05,0.0831,3ZaEs1O8BG581qYPHpQ8d6,audio_features
0.713,120.032,0.742,pop,-5.522,0.059,0.879,0.0303,83,Maps,2014.0,0.0,0.0205,4gbVRS8gloEluzf0GzDOFc,audio_features
0.678,117.067,0.595,hip-hop,-5.18,0.418,0.259,0.0335,83,Break from Toronto,2013.0,0.00389,0.0199,5fEB6ZmVkg63GZg9qO86jh,audio_features
0.783,124.08,0.532,pop,-5.697,0.161,0.643,0.0523,83,Wake Me Up,2013.0,0.0012,0.0038,0nrRP2bk19rLc0orkWPQk2,audio_features
0.676,162.012,0.814,hip-hop,-4.67,0.119,0.312,0.231,83,Like That,2024.0,1.28e-05,0.00709,2tudvzsrR56uom6smgOcSf,audio_features
0.519,100.025,0.763,latin,-7.426,0.0816,0.804,0.0636,83,PELIGROSA,2024.0,6.42e-06,0.22,42wdz3j7gstgUuhoFLCXqd,audio_features
0.715,199.892,0.475,electronic,-5.371,0.135,0.159,0.058,83,Let Me Love You,2016.0,2.67e-05,0.0863,0lYBSQXN6rCTvUZvg9S0lU,audio_features
0.741,153.96,0.601,pop,-5.569,0.415,0.441,0.0478,83,Ghost,2021.0,2.91e-05,0.185,6I3mqTwhRpn34SLVafSH7G,audio_features
0.866,128.038,0.578,pop,-3.804,0.257,0.619,0.0619,83,Shut Up and Dance,2014.0,0.0,0.00701,4kbj5MwxO1bq9wjT5g9HaA,audio_features
0.738,169.918,0.841,latin,-7.455,0.0892,0.484,0.307,83,QLONA,2023.0,0.0,0.52,5RqSsdzTNPX1uzkmlHCFvK,audio_features
0.425,102.078,0.357,pop,-7.301,0.322,0.27,0.0333,83,Heather,2020.0,0.0,0.584,4xqrdfXkTW4T0RauPLv3WA,audio_features
0.76,99.947,0.655,pop,-3.669,0.299,0.409,0.045,83,Sorry,2015.0,0.0,0.0797,09CtPGIpYB4BrO8qb1RGsF,audio_features
0.547,95.0,0.778,pop,-7.273,0.132,0.442,0.0489,83,Just Give Me a Reason (feat. Nate Ruess),2012.0,0.000306,0.344,1mKXFLRA179hdOWQBwUk9e,audio_features
0.837,120.028,0.755,pop,-2.718,0.289,0.714,0.142,83,TiK ToK,2010.0,0.0,0.0991,0HPD5WQqrq7wPWR7P7Dw1i,audio_features
0.264,119.93,0.422,pop,-7.064,0.132,0.331,0.0322,83,All of Me,2013.0,0.0,0.922,3U4isOIWM3VvDubwSI3y7a,audio_features
0.763,120.042,0.695,pop,-3.497,0.0863,0.551,0.0396,83,Circles,2019.0,0.00242,0.189,21jGcNKet2qwijlDFuPiPb,audio_features
0.583,115.221,0.669,latin,-8.949,0.1,0.271,0.269,83,Mejores Jordans,2024.0,2.54e-06,0.603,1cZHUhGz7xJ8c4szDipipd,audio_features
0.802,124.022,0.721,pop,-5.797,0.694,0.724,0.0583,82,Time of Our Lives,2014.0,0.0,0.0921,2bJvI42r8EF3wxjOuDav4r,audio_features
0.832,98.582,0.742,latin,-4.267,0.296,0.716,0.0325,82,Hecha Pa' Mí,2024.0,0.0,0.0857,1uGUbgZuO1kD1JZ0UeFupN,audio_features
0.823,128.035,0.646,electronic,-4.123,0.322,0.418,0.0394,82,Outside (feat. Ellie Goulding),2014.0,0.0,0.213,7MmG8p0F9N3C4AXdK6o6Eb,audio_features
0.754,149.789,0.752,pop,-6.684,0.0486,0.755,0.0615,82,Stitches,2015.0,0.0,0.0151,5jsw9uXEGuKyJzs0boZ1bT,audio_features
0.668,87.973,0.573,hip-hop,-4.356,0.109,0.145,0.0467,82,Too Many Nights (feat. Don Toliver & with Future),2022.0,4.01e-05,0.189,2Hh3ETdQKrmSI3QS0hme7g,audio_features
0.621,191.868,0.525,pop,-7.364,0.291,0.592,0.117,82,Santa Tell Me,2014.0,0.0,0.0489,0lizgQ7Qw35od7CYaoMBZb,audio_features
0.724,101.097,0.556,latin,-3.165,0.217,0.681,0.119,82,Nueva Era,2024.0,0.0,0.267,03IpZ9yqJlo3EIgDQUgBSF,audio_features
0.701,175.95,0.73,latin,-5.885,0.151,0.785,0.106,82,Borro Cassette,2015.0,0.0,0.132,6DUdDIRgLqCGq1DwkNWQTN,audio_features
0.787,109.939,0.734,pop,-3.951,0.312,0.672,0.116,82,Moonlit Floor (Kiss Me),2024.0,0.0,0.126,5G345YEhvleYxQLfYUlEFv,audio_features
