genre,fold,train_start,train_end,test_start,test_end,p,d,q,rmse,mae,mape,source
electronic,2,2011,2013,2014,2015,0,0,1,0.5312821236325815,0.399901515752056,0.5336536508748144,grid
electronic,2,2011,2013,2014,2015,0,0,2,1.654974294100212,1.5666546202880056,2.098181278142382,grid
electronic,2,2011,2013,2014,2015,0,0,3,0.9964038973598278,0.865526679961377,1.1662803532170807,grid
electronic,2,2011,2013,2014,2015,0,1,0,4.527692569120515,4.500000000052125,6.0360360361060055,grid
electronic,2,2011,2013,2014,2015,0,1,1,7.349984017171456,7.332957456079768,9.838834783386355,grid
electronic,2,2011,2013,2014,2015,0,1,2,7.869857332759544,7.862664006447922,10.551356132600716,grid
electronic,2,2011,2013,2014,2015,0,1,3,7.853929045098561,7.8375023764586516,10.516037436193566,grid
electronic,2,2011,2013,2014,2015,0,2,0,12.165525060671756,12.000000000072337,16.126126126223443,grid
electronic,2,2011,2013,2014,2015,1,0,0,0.37822630732857393,0.34962829093367986,0.468021086658173,grid
electronic,2,2011,2013,2014,2015,1,0,1,0.7841947961329273,0.6667971221425262,0.8913517550034377,grid
electronic,2,2011,2013,2014,2015,1,0,2,1.2066781550244694,1.202101498023886,1.6126858307559622,grid
electronic,2,2011,2013,2014,2015,1,0,3,0.8192305212354161,0.6296002632322129,0.849861240927112,grid
electronic,2,2011,2013,2014,2015,1,1,0,8.013575827031758,8.009441408540162,10.753731104335206,grid
electronic,2,2011,2013,2014,2015,1,1,1,7.869399770197587,7.8625451530195605,10.551268857459398,grid
electronic,2,2011,2013,2014,2015,1,1,2,7.889663947800505,7.886382223960368,10.58417491333261,grid
electronic,2,2011,2013,2014,2015,1,1,3,7.938188723745074,7.9161149616255955,10.620806771368937,grid
electronic,2,2011,2013,2014,2015,2,0,0,8.646175558274258,8.421468458570093,11.322136687389587,grid
electronic,2,2011,2013,2014,2015,2,0,1,8.705563700184474,8.475748884338064,11.395258307529035,grid
electronic,2,2011,2013,2014,2015,2,0,2,6.986430757886049,6.837093016139555,9.16477537396126,grid
electronic,2,2011,2013,2014,2015,2,0,3,7.701565394928743,7.553645825611973,10.15311178249377,grid
